word, postcount, commentcount 
Canvas,1,7
code,8,5
Staging,0,1
TAs,1,2
batch-download,1,0
people,0,4
splitting,0,1
existing,1,0
DIRECTORY,0,2
manager,0,2
Git,1,4
CourseFiles/hcde310a16/Homeworks,2,1
90,0,1
follow,1,1
research,0,2
saved,2,2
shared,0,1
issues,1,2
ShinYoung,0,1
referring,0,1
icons,0,1
Approaches,0,1
description,1,0
flash,0,1
worth,0,2
send,1,1
environment,2,2
init,0,1
program,1,0
helps,0,2
barely,1,0
teaching,1,0
sorry,0,3
fatal,0,1
spec,1,0
sent,0,1
uploaded,1,0
downloading,0,5
returned,0,1
returning,0,2
getHW.bat,0,2
maximized,1,0
misunderstanding,0,1
Refresh,0,1
results,0,1
tradeoffs,0,1
1:45-3:30,1,0
I'd,0,4
updates,0,1
underscore,1,0
upstream,1,0
locked,1,0
I'm,18,14
little,0,1
multiple,1,0
VirtualBox,0,7
splits,0,1
timely,0,1
discovered,2,0
macOS's,0,1
Trying,1,0
solves,1,0
Internet,4,2
notes,0,3
cmd,0,3
list,0,2
solution,1,4
occurs,0,1
try,4,25
assignments,0,2
session,1,0
elsewhere,0,1
https://www.dropbox.com/s/nsry38imz2uaowr/VM310.tar.gz?dl=0,0,1
quick,0,1
hw2_exercises.py,1,0
deleting,0,2
lines,4,3
dir,0,1
it'll,1,2
application,1,1
we'll,0,1
Assuming,0,1
=Virtual,0,1
past,0,2
dowload,1,0
Version,0,1
value,0,5
Correct,0,1
download,1,5
ill,0,1
re-add,0,1
click,0,6
machines,1,1
setup,3,1
errors,1,1
application's,0,1
iterating,0,1
brackets,0,1
screenshots,2,0
getHW.sh,4,11
launch,0,1
access,2,4
0755,0,1
hw2feed.txt,1,0
version,1,2
mid-morning,0,1
goes,1,2
reply,0,1
scaling,0,2
public,0,1
exercise,1,0
told,0,1
how/what,1,0
chose,1,0
Yup,0,1
pushing,0,1
answers,0,1
understanding,0,1
hours,6,11
downloaded,2,5
operating,0,3
compressed,0,1
directions,1,0
i.e,0,1
standard,1,0
Alright,0,1
appears,0,1
change,5,3
clarification,1,1
box,1,8
3:20,0,1
ahead,0,1
internalcommands,0,2
Tuesday,2,1
changed,0,6
allows,2,1
completely,1,1
experience,0,2
double-clicking,0,1
suggests,1,0
64bit,1,0
User,0,1
pick,2,2
usually,0,4
pack,0,1
changes,0,3
exited,0,1
GB,0,1
named,1,0
followed,1,1
apple,1,0
pops,0,1
extra,0,1
URL,0,2
It's,1,6
app,0,1
prefer,0,1
330,0,1
private,0,1
replace,1,2
addressed,0,1
names,4,4
1st,0,1
pulls,0,2
employer,0,1
select,0,2
hoping,1,0
hcde310a16,0,7
Awesome,0,1
handled,1,1
zip,0,1
&,1,0
remains,0,1
getHw.sh,1,0
contains,1,0
visit,0,1
https://canvas.uw.edu/courses/1066100/pages/git-on-windows-and-mac-with-gethw-dot-star,1,0
our\n,0,1
Thoughts/suggestions,2,0
handles,0,1
call,0,1
typo,1,0
6,1,1
panel,0,1
type,1,12
tell,2,1
troubleshoot,0,1
separated,1,0
Christina,3,0
exit,1,0
started,1,1
Choi,0,1
acceptable,1,0
Wednesday,1,0
Devices,0,3
whatever,0,4
phone,2,0
export,1,0
termal,0,1
basically,0,1
particular,1,1
ok,1,1
Docker,0,2
easiest,0,2
wordFreq(fname,0,1
extracting,1,0
tad,1,0
lowercase,0,1
include,1,0
word,2,1
extension,0,1
hour,1,0
looking,1,0
recall,0,1
gethW.sh,0,1
oh,0,1
eclipse,4,6
Fern,1,0
prompts,0,1
sudden,0,1
values,1,0
resources,0,2
install,0,1
fetch,2,1
resource,0,1
ready,0,1
listings,0,1
prompt,2,2
corrupted,0,1
figure,0,4
prompting,0,1
process,2,1
didn't,0,10
confused,3,1
accept,0,1
tryto,1,0
we'd,0,1
professor,0,1
assumptions,0,1
pulling,0,1
dropped,0,1
tab,1,1
sense,0,1
difference,0,1
counting,1,0
user/pw,0,1
rescue,1,0
cloning,0,2
comfortable,0,1
Missing,1,0
s2,0,3
Everytime,1,0
feature,1,0
uncompressed,0,1
machine,7,20
located,0,1
Hope,0,1
instead,3,3
parameter,1,1
12-1:00pm,0,1
subdirectories,2,0
okay,0,3
tried,4,6
crashes,0,2
CourseFiles/hcde310a16/.git/config,0,1
clone,2,2
earlier,1,1
https://canvas.uw.edu/courses/1066100/pages/eclipse-troubleshooting,0,1
internet,2,0
3,0,1
reflect,0,1
mac,1,0
4th,0,1
date,0,1
data,0,6
getHW,4,4
anyways,1,0
realized,0,3
physical,0,2
remember,0,2
third,0,1
whenever,0,1
